Price,Close,High,Low,Open,Volume
Ticker,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN
Date,,,,,
2022-09-15,59934.01171875,60676.12109375,59865.75,60454.37109375,10300
2022-09-16,58840.7890625,59720.55859375,58687.171875,59585.71875,13500
2022-09-19,59141.23046875,59277.55078125,58487.76171875,58747.30859375,58000
2022-09-20,59719.73828125,60105.7890625,59556.91015625,59556.91015625,10400
2022-09-21,59456.78125,59799.0390625,59275.3984375,59504.140625,8600
2022-09-22,59119.71875,59457.578125,58832.78125,59073.83984375,10000
2022-09-23,58098.921875,59143.3203125,57981.94921875,59005.1796875,14900
2022-09-26,57145.21875,57708.37890625,57038.23828125,57525.03125,17900
2022-09-27,57107.51953125,57704.5703125,56950.51953125,57376.51953125,13900
2022-09-28,56598.28125,57213.328125,56485.671875,56710.12890625,26800
2022-09-29,56409.9609375,57166.140625,56314.05078125,56997.8984375,11400
2022-09-30,57426.921875,57722.62890625,56147.23046875,56240.1484375,12300
2022-10-03,56788.80859375,57454.83984375,56683.3984375,57403.921875,8100
2022-10-04,58065.46875,58099.94140625,57506.6484375,57506.6484375,6400
2022-10-06,58222.1015625,58578.76171875,58173.69921875,58314.05078125,9600
2022-10-07,58191.2890625,58269.33984375,57851.1484375,58092.55859375,7300
2022-10-10,57991.109375,58125.01171875,57365.6796875,57424.0703125,6800
2022-10-11,57147.3203125,58027.51953125,57050.3984375,58004.25,52700
2022-10-12,57625.91015625,57687.640625,57085.921875,57312.48828125,7600
2022-10-13,57235.328125,57568.140625,57055.75,57512.73828125,9500
2022-10-14,57919.96875,58435.12109375,57848.23046875,58162.73828125,9400
2022-10-17,58410.98046875,58449.0,57639.80078125,57752.5,53500
2022-10-18,58960.6015625,59143.66015625,58744.12890625,58744.12890625,8600
2022-10-19,59107.19140625,59399.69140625,58961.76953125,59196.9609375,6800
2022-10-20,59202.8984375,59273.8515625,58791.28125,58824.48046875,8600
2022-10-21,59307.1484375,59590.9296875,59132.94140625,59381.359375,10800
2022-10-24,59831.66015625,59994.25,59776.66015625,59804.01953125,2100
2022-10-25,59543.9609375,60081.23828125,59489.01953125,60002.9609375,14900
2022-10-27,59756.83984375,59959.94140625,59496.80078125,59792.3203125,9500
2022-10-28,59959.8515625,60133.171875,59739.05078125,59746.80078125,10000
2022-10-31,60746.58984375,60786.69921875,60246.9609375,60246.9609375,8000
2022-11-01,61121.3515625,61289.73046875,60868.69140625,61065.578125,58200
2022-11-02,60906.08984375,61209.6484375,60794.390625,61156.890625,10800
2022-11-03,60836.41015625,60994.37109375,60485.140625,60511.5703125,25000
2022-11-04,60950.359375,61004.48828125,60666.01171875,60698.26953125,13600
2022-11-07,61185.1484375,61401.5390625,60714.359375,61188.12890625,17000
2022-11-09,61033.55078125,61447.23046875,60905.1484375,61304.2890625,9100
2022-11-10,60613.69921875,60848.73046875,60425.46875,60524.26953125,10200
2022-11-11,61795.0390625,61840.96875,61311.01953125,61311.01953125,14400
2022-11-14,61624.1484375,61916.23828125,61572.03125,61765.859375,20600
2022-11-15,61872.98828125,61955.9609375,61436.8984375,61630.05078125,11400
2022-11-16,61980.71875,62052.5703125,61708.62890625,61708.62890625,6600
2022-11-17,61750.6015625,62050.80078125,61643.26953125,61812.359375,9100
2022-11-18,61663.48046875,61929.87890625,61337.4296875,61858.19921875,10600
2022-11-21,61144.83984375,61456.328125,61059.328125,61456.328125,7900
2022-11-22,61418.9609375,61466.62890625,61073.6796875,61126.55859375,9700
2022-11-23,61510.578125,61780.8984375,61442.69140625,61779.7109375,9800
2022-11-24,62272.6796875,62412.328125,61600.421875,61656.0,7700
2022-11-25,62293.640625,62447.73046875,62115.66015625,62327.87890625,7100
2022-11-28,62504.80078125,62701.3984375,61959.73828125,62016.3515625,7000
2022-11-29,62681.83984375,62887.3984375,62362.078125,62362.078125,11200
2022-11-30,63099.6484375,63303.01171875,62648.37890625,62743.46875,8900
2022-12-01,63284.19140625,63583.0703125,63183.76953125,63357.98828125,17300
2022-12-02,62868.5,63148.58984375,62679.62890625,62978.578125,6400
2022-12-05,62834.6015625,62939.62890625,62507.87890625,62865.28125,13100
2022-12-06,62626.359375,62677.83984375,62390.0703125,62395.55078125,6100
2022-12-07,62410.6796875,62759.96875,62316.6484375,62615.51953125,4800
2022-12-08,62570.6796875,62633.55859375,62320.1796875,62504.0390625,13700
2022-12-09,62181.671875,62735.421875,61889.109375,62690.859375,7300
2022-12-12,62130.5703125,62239.421875,61676.1484375,61770.55859375,7000
2022-12-13,62533.30078125,62567.921875,62129.5703125,62300.671875,12000
2022-12-14,62677.91015625,62835.109375,62591.28125,62685.94140625,5700
2022-12-15,61799.03125,62624.80859375,61715.609375,62530.0703125,5600
2022-12-16,61337.80859375,61893.21875,61292.53125,61534.23828125,7000
2022-12-19,61806.19140625,61844.921875,61265.30859375,61405.80078125,4800
2022-12-20,61702.2890625,61780.37109375,61102.6796875,61608.8515625,4500
2022-12-21,61067.23828125,62006.4609375,60938.37890625,61993.7109375,6600
